peer_addr = 127.0.0.1:5555
test begin!

BlockID  bct  BlockSize  Priority  Deadline
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
65          330       1250          1        200
69          333     172580          2        200
73          330       1220          1        200
77          330       1215          1        200
85          334       1195          1        200
81          334     281425          2        200
93          1      52795          2        200
97          1       1260          1        200
101          0       1185          1        200
105          6     257340          2        200
109          6       1275          1        200
113          0       1235          1        200
117          1      49390          2        200
121          0       1245          1        200
125          1       1215          1        200
133          6       1355          1        200
129          7     256815          2        200
137          1      45410          2        200
141          0       1225          1        200
145          0       1265          1        200
149          1      64775          2        200
157          0       1240          1        200
153          0       1235          1        200
161          4     244720          2        200
165          0       1265          1        200
169          0       1225          1        200
173          1      36250          2        200
177          0       1285          1        200
181          0       1275          1        200
185          1      62690          2        200
193          1       1275          1        200
189          1       1465          1        200
197          2      78415          2        200
201          0       1255          1        200
205          0       1315          1        200
209          7     168430          2        200
213          0       1255          1        200
217          0       1475          1        200
221          1      59105          2        200
225          0       1230          1        200
229          0       1240          1        200
233          3     226140          2        200
237          0       1245          1        200
241          0       1490          1        200
245          1      37695          2        200
249          1       1245          1        200
253          1       1210          1        200
257          2      71995          2        200
261          1       1215          1        200
265          1       1235          1        200
269          2      80330          2        200
273          0       1185          1        200
277          1       1345          1        200
281          3     193685          2        200
285          0       1170          1        200
289          0       1425          1        200
293          4      70615          2        200
297          0       1390          1        200
301          0       1415          1        200
305          2     101625          2        200
309          0       1130          1        200
313          1       1135          1        200
317          1      61445          2        200
321          1       1205          1        200
325          1       1190          1        200
329          2     123185          2        200
333          1       1230          1        200
337          1       1200          1        200
341          7     198880          2        200
345          7       1865          1        200
349          0       1230          1        200
357          0       1160          1        200
353          0      23310          2        200
361          0       1195          1        200
365          3      44375          2        200
369          3       1165          1        200
373          0       1180          1        200
377          2     120235          2        200
381          2       1220          1        200
385          0       1225          1        200
389          4     244295          2        200
393          4       1250          1        200
397          0       1205          1        200
401          0      59520          2        200
405          0       1240          1        200
409          1      45970          2        200
413          0       1260          1        200
417          0       1240          1        200
421          1     119260          2        200
429          1       1225          1        200
425          1       1245          1        200
433          4     212415          2        200
437          1       1270          1        200
441          1       1225          1        200
445          1      52720          2        200
453          1       1245          1        200
449          1       1245          1        200
457          3     153470          2        200
465          2       1270          1        200
461          2       1255          1        200
469          1      51410          2        200
473          0       1285          1        200
477          0       1215          1        200
481          4     218055          2        200
485          2       1235          1        200
489          0       1250          1        200
493          1      51605          2        200
497          1       1240          1        200
501          1       1240          1        200
505          6     215445          2        200
509          0       1280          1        200
513          0       1270          1        200
517          2      33555          2        200
521          1       1245          1        200
525          1       1280          1        200
529          4     195700          2        200
533          0       1340          1        200
537          0       1350          1        200
541          1      45990          2        200
545          0       1280          1        200
549          1       1300          1        200
557          0       1245          1        200
553         19     668915          2        200
561          1       1255          1        200
565          1      15150          2        200
569          1       1240          1        200
573          1       1270          1        200
577          4     135175          2        200
581          1       1265          1        200
585          0       1325          1        200
589          1      22770          2        200
593          0       1275          1        200
597          0       1260          1        200
601          3     143145          2        200
605          0       1290          1        200
609          1       1230          1        200
617          1       1255          1        200
613          1      33120          2        200
621          0       1375          1        200
625          3     151945          2        200
629          2       1410          1        200
633          0       1290          1        200
637          2      24745          2        200
641          2       1240          1        200
645          0       1245          1        200
649          1     113365          2        200
653          1       1295          1        200
657          1       1310          1        200
665          1       1270          1        200
661          1      22075          2        200
669          3     120260          2        200
673          1       1250          1        200
677          1       1255          1        200
681          3      18405          2        200
685          0       1300          1        200
689          1       1320          1        200
693          3     175755          2        200
697          0       1275          1        200
701          1       1480          1        200
705          0      17820          2        200
709          0       1405          1        200
713          0       1275          1        200
717          4     145750          2        200
721          0       1315          1        200
725          0       1235          1        200
729          0      26360          2        200
733          0       1270          1        200
737          0       1280          1        200
741          2     114425          2        200
745          0       1385          1        200
749          0       1295          1        200
753          1      15605          2        200
757          0       1295          1        200
761          0       1300          1        200
765          1      76825          2        200
769          0       1310          1        200
773          0       1400          1        200
777          5     309655          2        200
781          0       1415          1        200
785          0       1255          1        200
789          2      79570          2        200
793          1       1255          1        200
797          1       1245          1        200
801          2      72735          2        200
805          0       1210          1        200
809          1       1210          1        200
813          3     175895          2        200
817          1       1215          1        200
821          0       1945          1        200
825          3     166310          2        200
829          0       1460          1        200
833          0       1160          1        200
837          2      72440          2        200
841          1       1180          1        200
845          1       1175          1        200
849          3     183075          2        200
853          0       1300          1        200
857          1       1250          1        200
861          2     102535          2        200
865          0       1240          1        200
869          0       1180          1        200
873          3     178310          2        200
877          2       1845          1        200
881          1       1150          1        200
885          2     123245          2        200
889          2       1170          1        200
893          0       1265          1        200
897          3     190640          2        200
901          3       1220          1        200
905          0       1230          1        200
909          1      98555          2        200
913          1       1345          1        200
917          0       1200          1        200
921          4     130375          2        200
925          4       1195          1        200
929          1      66745          2        200
933          0       1310          1        200
937          0       1285          1        200
941          2     181425          2        200
949          1       1200          1        200
945          1       1215          1        200
953          3     197350          2        200
957          0       1295          1        200
961          0       1315          1        200
965          3     124945          2        200
973          1       1215          1        200
969          1       1250          1        200
977          4     190285          2        200
981          0       1245          1        200
985          0       1305          1        200
989          2     117120          2        200
993          1       1295          1        200
997          1       1305          1        200
1001          5     275575          2        200
1005          0       1305          1        200
1009          0       1395          1        200
1013          2     111690          2        200
1017          0       1295          1        200
1021          0       1255          1        200
1025          7     144230          2        200
1029          1       1360          1        200
1033          1       1245          1        200
1037          4     198975          2        200
1041          1       1255          1        200
1045          0       1260          1        200
1049          3     137295          2        200
1053          1       1260          1        200
1057          1       1300          1        200
1061          8     258725          2        200
1065          0       1255          1        200
1069          0       1225          1        200
1073          2     136740          2        200
1077          0       1215          1        200
1081          0       1280          1        200
1085          4     204445          2        200
1089          2       1290          1        200
1093          1       1330          1        200
1097          1      96440          2        200
1101          0       1335          1        200
1105          0       1230          1        200
1109          4      57725          2        200
1113          1       1190          1        200
1117          1       1190          1        200
1121          6     173960          2        200
1125          1       1185          1        200
1129          2       1220          1        200
1133          1      39710          2        200
1137          1       1230          1        200
1141          1       1250          1        200
1149          5       1290          1        200
1145          7     137330          2        200
1153          0       1300          1        200
1161          1       1260          1        200
1157          1      43730          2        200
1165          0       1325          1        200
1169          5     122160          2        200
1173          5       1305          1        200
1177          0       1320          1        200
1181          4     282310          2        200
1185          4       1290          1        200
1189          0      38445          2        200
1197          0       1290          1        200
1193          0       1280          1        200
1201          1      39640          2        200
1209          0       1255          1        200
1205          0       1295          1        200
1213          8     182250          2        200
1217          1       1310          1        200
1221          1       1300          1        200
1225          1      40540          2        200
1229          1       1305          1        200
1233          1       1255          1        200
1237          2     104320          2        200
1241          1       1290          1        200
1245          1       1350          1        200
1249          1      42685          2        200
1253          0       1340          1        200
1257          1       1280          1        200
1261          3     181965          2        200
1265          0       1270          1        200
1269          0       1295          1        200
1273          1      44050          2        200
1277          0       1215          1        200
1281          0       1220          1        200
1285          4      90725          2        200
1289          0       1245          1        200
1293          0       1250          1        200
1297          1      43015          2        200
1301          1       1255          1        200
1305          0       1250          1        200
1309          2     117775          2        200
1313          2       1255          1        200
1317          0       1310          1        200
1321          2      47300          2        200
1325          0       1275          1        200
1329          0       1280          1        200
1333          1      93490          2        200
1337          0       1305          1        200
1341          0       1470          1        200
1349          0       1530          1        200
1353          0       1475          1        200
1345         37    1000000          2        200
1357          1       6940          2        200
1361          0       1160          1        200
1365          0       1200          1        200
1369          1       5895          2        200
1373          0       1230          1        200
1377          0       1235          1        200
1381          2     121240          2        200
1385          1       1230          1        200
1389          0       1255          1        200
1393          0       8620          2        200
1397          0       1265          1        200
1401          0       1855          1        200
1409          2       1105          1        200
1405          3     144510          2        200
1413          1       1185          1        200
1417          1       9965          2        200
1421          0       1220          1        200
1425          1       1205          1        200
1429          5     180015          2        200
1433          4       1235          1        200
1437          0       1270          1        200
1445          1       1200          1        200
1441          1      10235          2        200
1449          0       1300          1        200
1457          2       1265          1        200
1453          2     122240          2        200
1461          0      10950          2        200
1469          0       1330          1        200
1465          0       1240          1        200
1473          1      69200          2        200
1481          0       1280          1        200
1477          0       1260          1        200
1485          0      11215          2        200
1489          0       1275          1        200
1493          0       1335          1        200
1497          1      66440          2        200
1501          0       1255          1        200
1505          0       1295          1        200
1517          0       1485          1        200
1509         22    1000000          2        200
1513          6       1390          1        200
1521          1      44625          2        200
1525          1       1395          1        200
1529          0       1240          1        200
1533          1       6895          2        200
1537          0       1210          1        200
1541          1       1230          1        200
1545          2     137795          2        200
1549          1       1180          1        200
1553          0       1195          1        200
1557          1       8225          2        200
1561          0       1220          1        200
1565          0       1250          1        200
1569          2     110655          2        200
1573          0       1375          1        200
1577          0       1425          1        200
1581          0       8410          2        200
1585          1       1495          1        200
1589          0       1310          1        200
1593          2      49900          2        200
1597          0       1220          1        200
1601          0       1210          1        200
1605          0       9815          2        200
1609          0       1230          1        200
1613          0       1210          1        200
1617          2     140975          2        200
1621          0       1240          1        200
1625          0       1405          1        200
1629          0      10135          2        200
1633          0       1345          1        200
1637          0       1160          1        200
1641          1      53425          2        200
1645          0       1145          1        200
1649          0       1195          1        200
1653          1      12565          2        200
1657          0       1230          1        200
1661          0       1250          1        200
1665          2     135465          2        200
1669          2       1260          1        200
1673          1       1280          1        200
1677          1       8735          2        200
1681          1       1450          1        200
1685          0       1355          1        200
1693          1       1230          1        200
1689          1      45795          2        200
1697          1       1495          1        200
1705          1       1345          1        200
1701          1       8760          2        200
1709          1       1295          1        200
1713          4     131115          2        200
1717          4       1180          1        200
1721          1       7615          2        200
1729          0       1210          1        200
1725          0       1130          1        200
1733          1      47885          2        200
1741          0       1225          1        200
1737          0       1150          1        200
1745          0       8305          2        200
1753          0       1210          1        200
1749          0       1175          1        200
1757          3     107620          2        200
1761          0       1130          1        200
1765          0       1215          1        200
1769          0       7585          2        200
1777          0       1245          1        200
1773          0       1250          1        200
1781          1      51565          2        200
1785          1       1225          1        200
1789          1       1215          1        200
1793          0       9130          2        200
1797          0       1285          1        200
1801          1       1255          1        200
1805          2     131960          2        200
1809          1       1260          1        200
1813          0       1275          1        200
1817          1       8225          2        200
1821          1       1270          1        200
1825          0       1400          1        200
1829          1      43775          2        200
1833          2       1190          1        200
1837          0       1210          1        200
1841          0       9335          2        200
1845          1       1350          1        200
1849          0       1220          1        200
1853          3     141110          2        200
1857          4       1245          1        200
1861          0       1280          1        200
1865          0       8800          2        200
1869          0       1210          1        200
1873          1       1275          1        200
1877          1      48815          2        200
1881          1       1245          1        200
1885          0       1220          1        200
1889          1       8360          2        200
1893          1       1235          1        200
1897          1       1245          1        200
1901          2      99865          2        200
1905          0       1315          1        200
1909          1       1295          1        200
1913          2       8690          2        200
1917          1       1240          1        200
1921          1       1285          1        200
1925          2      49515          2        200
1929          2       1235          1        200
1933          0       1265          1        200
1941          0       1255          1        200
1937          0       9100          2        200
1945          0       1255          1        200
1949          1      85070          2        200
1953          1       1250          1        200
1957          1       1260          1        200
1965          0       1270          1        200
1961          0       9610          2        200
1969          1       1295          1        200
1973          1      42285          2        200
1977          1       1305          1        200
1981          1       6955          2        200
1985          1       1315          1        200
1989          1       1255          1        200
1993          2      86385          2        200
1997          2       1345          1        200
2001          2       1310          1        200
2005          0      10375          2        200
2009          1       1305          1        200
2013          2       1285          1        200
2017          1      47805          2        200
2021          0       1330          1        200
2025          0       1315          1        200
2029          0       8905          2        200
2037          0       1265          1        200
2033          0       1325          1        200
2041          1      58350          2        200
2045          0       1285          1        200
2049          0       1295          1        200
2053          0       9455          2        200
2057          0       1265          1        200
2061          0       1300          1        200
2065          1      42995          2        200
2069          0       1370          1        200
2073          1       1275          1        200
2077         11     522375          2        200
2081          1       1235          1        200
2085          0       1285          1        200
2089          1      30635          2        200
2093          0       1275          1        200
2097          0       1285          1        200
2101         46      57015          2        200
2105          7       1285          1        200
2109          2       1250          1        200
2113         38      28840          2        200
2117          3       1320          1        200
2121          2       1295          1        200
2125          4      69250          2        200
2129          1       1400          1        200
2133          0       1235          1        200
2137          1      31205          2        200
2141          0       1250          1        200
2145          0       1270          1        200
2149          1      63230          2        200
2153          0       1365          1        200
2157          0       1385          1        200
2161          1      25415          2        200
2165          0       1285          1        200
2169          0       1230          1        200
2173          2      74505          2        200
2177          0       1260          1        200
2181          0       1310          1        200
2185          1      29715          2        200
2189          1       1290          1        200
2193          0       1300          1        200
2197          1      66595          2        200
2201          2       1385          1        200
2205          0       1310          1        200
2209          0      28535          2        200
2213          0       1260          1        200
2217          0       1235          1        200
2225          1       1275          1        200
2221          1      81305          2        200
2229          0       1940          1        200
2233          1      26700          2        200
2237          1       1190          1        200
2241          1      66070          2        200
2245          0       1195          1        200
2249          0       1275          1        200
2253          1      29460          2        200
2261          0       1265          1        200
2257          0       1205          1        200
2265          2      88000          2        200
2269          0       1200          1        200
2273          0       1240          1        200
2277          1      28610          2        200
2281          1       1285          1        200
2285          1       1290          1        200
2289          2      76370          2        200
2293        111       1290          1        200
2297        112       1250          1        200
2301          3      32975          2        200
2305          0       1325          1        200
2309          0       1295          1        200
2313          2      56760          2        200
2317          0       1260          1        200
2321          0       1265          1        200
2325          0      34525          2        200
2329          0       1235          1        200
2333          0       1270          1        200
2337          1      90450          2        200
2341          0       1260          1        200
2345          0       1260          1        200
2349          0      35795          2        200
2353          1       1245          1        200
2357          0       1320          1        200
2361          2      55295          2        200
2365          1       1300          1        200
2369          0       1315          1        200
2373          1      32355          2        200
2377          1       1255          1        200
2381          1       1275          1        200
2385          2      96505          2        200
2389          0       1275          1        200
2393          0       1255          1        200
2397          1      31430          2        200
2401          0       1295          1        200
2405          0       1275          1        200
2409          1      52715          2        200
2413          0       1300          1        200
2417          0       1240          1        200
2421          0      30480          2        200
2425          0       1280          1        200
2429          0       1280          1        200
2433          1      95435          2        200
2437          0       1340          1        200
2441          0       1295          1        200
2445         90      28995          2        200
2449         90       1285          1        200
2453         72       1275          1        200
2461          1       1300          1        200
2457         51      52085          2        200
2465          0       1300          1        200
2469         85      30315          2        200
2473         85       1330          1        200
2477          0       1360          1        200
2481        185      91330          2        200
2485          2       1270          1        200
2489          0       1230          1        200
2493          1      30860          2        200
2497          0       1295          1        200
2501          1       1325          1        200
2521          0       1275          1        200
2517          0       1235          1        200
2525         60      93445          2        200
2529          0       1305          1        200
2533          0       1300          1        200
2537          1      32485          2        200
2541          1       1285          1        200
2545          1       1320          1        200
2549          2      54100          2        200
2553          0       1270          1        200
2557          0       1315          1        200
2561         19      29490          2        200
2569          0       1265          1        200
2565          0       1305          1        200
2573          1      97540          2        200
2577          0       1255          1        200
